  0:  155| [55] [√After Chapter3]
  1:  171| [45] [禍々しい空気満ちる中、渡瀬は走った。]
  2:  176| [45] [呼吸を完全に止めたまま。]
  3:  181| [45] [外周棟に並ぶ小部屋の、どこかにＡＤがあると信じて。]
  4:  239| [45] [１つ目の部屋――ここにはない。]
  5:  331| [45] [だが２つ目の部屋には、鉄製の箱が落ちていた。]
  6:  429| [47] [渡瀬]
  7:  430| [45] [（メディカルボックス！）]
  8:  435| [45] [渡瀬はそれに飛びつき、開けた。]
  9:  444| [45] [中にはＡＤが――]
 10:  449| [45] [入っていた。]
 11:  454| [45] [２本だけ。]
 12:  459| [47] [渡瀬]
 13:  460| [45] [（足りない！！）]
 14:  466| [45] [渡瀬はそのＡＤをポケットに詰め込み、メディカルボックスを投げ捨てた。]
 15:  471| [45] [風見を含め、６人を生かすのに必要なのはあと４本。]
 16:  476| [45] [渡瀬は奥歯を噛み締め、その部屋を飛び出した。]
 17:  570| [45] [だが３つ目、４つ目、５つ目と探しても、ＡＤは１本も見つからない。]
 18:  575| [47] [渡瀬]
 19:  576| [45] [（くそ、ねぇじゃねぇか！）]
 20:  581| [45] [２度目の無酸素運動は、渡瀬にとっても苦難を極めた。]
 21:  586| [45] [洵とユウリを抱えてた時の方がまだ楽だった。]
 22:  591| [47] [渡瀬]
 23:  592| [45] [（一呼吸でもできたら、どれほど楽だろう……！）]
 24:  597| [45] [心臓が破裂しそうになり、肺が酸素を渇望する。]
 25:  602| [45] [それに耐えて６つ目の部屋に入ると――]
 26:  787| [45] [そこに炎が揺らめいていた。]
 27:  792| [45] [真っ黒な煙が蔓延し、眼にひときわ強い痛みが走る。]
 28:  797| [47] [渡瀬]
 29:  798| [45] [（息もできない上に、火が！？）]
 30:  803| [45] [もしここにＡＤがあったら、今のうちに入手しなければ焼けてしまう。]
 31:  808| [45] [しかしこんなところを捜索したら、本当に命取りになるかもしれない。]
 32:  820| [47] [渡瀬]
 33:  821| [45] [（――いや、オレならできる！）]
 34:  875| [45] [渡瀬の心臓は悲鳴を上げている。]
 35:  880| [47] [渡瀬]
