  0:   46| [55] [√After Chapter4]
  1:   61| [45] [――そして、部屋を出た途端。]
  2:   66| [45] [渡瀬の鼻が、ある臭いをとらえた。]
  3:   74| [47] [渡瀬]
  4:   77| [45] [「ん？」]
  5:   82| [45] [どこかから焦げたような臭いが漂ってきている。]
  6:   90| [47] [渡瀬]
  7:   93| [45] [「何か焼けてるんじゃないのか？」]
  8:  155| [47] [風見]
  9:  158| [45] [「えぇ……この臭い、いったいどこから……？」]
 10:  163| [45] [渡瀬たちは慎重に、臭いの出所をたどって歩いた。]
 11:  168| [45] [そして階段室にたどり着くと――]
 12:  220| [45] [そこにはうっすらと、煙が漂っていた。]
 13:  225| [45] [階下の方に目をやると、階段の陰に小さな火が瞬いている。]
 14:  258| [47] [風見]
 15:  261| [45] [「ボヤのようですね……」]
 16:  278| [47] [渡瀬]
 17:  281| [45] [「おっさんは危ないから、ちょっと後ろで待っててくれ」]
 18:  360| [47] [宇喜多]
 19:  363| [45] [「わかった」]
 20:  377| [45] [渡瀬は宇喜多を階段室の外に待たせ、風見と共に階下に降りる。]
 21:  427| [45] [そしてボヤの状況を確認した。]
 22:  435| [47] [渡瀬]
 23:  438| [45] [「消えかかってた炎が再燃したのか」]
 24:  464| [47] [風見]
 25:  467| [45] [「階段の陰になっていたせいで、スプリンクラーでは鎮火し切れなかったみたいですね」]
 26:  481| [45] [火災は小規模なものだった。おそらく消火は容易だろう。]
 27:  486| [45] [渡瀬はそう判断し、即座に指示を出していた。]
 28:  494| [47] [渡瀬]
 29:  497| [45] [「ともかく橘、放水ホースを」]
 30:  523| [47] [風見]
 31:  526| [45] [「はい！」]
 32:  546| [45] [渡瀬の指示に従って、風見が地下２階へ飛び出して行く。]
 33:  556| [45] [火災は小規模に見える。おそらく消火は容易だと思うのだが――]
 34:  564| [47] [渡瀬]
 35:  567| [45] [「どうする、橘？」]
 36:  593| [47] [風見]
 37:  596| [45] [「むろん消火するに決まっています」]
 38:  622| [47] [風見]
 39:  625| [45] [「放水ホースを取ってきますので、隊長はこの場に待機を」]
 40:  645| [45] [そう告げて、風見が地下２階へ飛び出して行く。]
 41:  696| [45] [だが、その直後――渡瀬は炎の傍に、消火器があるのを見つけた。]
 42:  740| [47] [渡瀬]
 43:  741| [45] [（……消火器？）]
 44:  746| [45] [階段室に消火器があるのは、おかしな事ではない。]
 45:  751| [45] [傍らの炎は今にも、消火器に触れようとしている。]
 46:  833| [45] [それを見た時、なぜか――渡瀬の背筋はぞっとした。]
 47:  838| [47] [渡瀬]
 48:  839| [45] [（なんだ！？）]
 49:  857| [45] [同時に足音が聞こえ、風見が階段室に戻ってきた。]
 50:  891| [47] [風見]
 51:  894| [45] [「隊長、ホースを――」]
 52:  899| [45] [その瞬間、渡瀬は叫んでいた。]
 53:  913| [47] [渡瀬]
 54:  916| [45] [「橘、こっちに来るんじゃない！　戻れ！」]
 55:  943| [47] [風見]
 56:  946| [45] [「え！？」]
 57:  951| [45] [風見がその場に立ち止まる。]
 58:  956| [45] [危険信号が、渡瀬の脳内に響き渡る。]
 59:  964| [47] [渡瀬]
 60:  967| [45] [「危ないッ！」]
 61: 1022| [45] [渡瀬はそう叫び、風見に飛びついた。]
 62: 1027| [45] [そして風見と共に、階段室を飛び出した直後――]
 63: 1032| [45] [背後で閃光が瞬いた。]
